"ID Luminaria","Sin Luz","Tipo Luminaria","Dirección","Barrio","Estado de la base","Medidor","Latitud","Longitud"
"Led_Cordoba1425","","LED 150W","Cordoba 1425","San Clemente","Con base en buenas condiciones","","-30.76159","-57.987927"
"Led_RoqueSaenzPena3978","","LED 150W","Roque Saenz Pena 3978","San Clemente","Sin base","","-30.767066","-57.989364"
"Led_RoqueSaenzPena3682","","LED 150W","Roque Saenz Pena 3682","San Clemente","Con base en buenas condiciones","","-30.765287","-57.987326"
"Led_JuanBautistaAlberdi3986","","LED 150W","Juan Bautista Alberdi 3986","San Clemente","Con base en buenas condiciones","","-30.766412","-57.990126"
"Led_JuanBautistaAlberdi3584","","LED 150W","Juan Bautista Alberdi 3584","San Clemente","Con base en buenas condiciones","","-30.764015","-57.987374"
"Led_JuanBautistaAlberdi3482","","LED 150W","Juan Bautista Alberdi 3482","San Clemente","Con base en buenas condiciones","","-30.763475","-57.986666"
"Led_AvenidaSiburu1303","","LED 150W","Avenida Siburu 1303","San Clemente","Con base en buenas condiciones","","-30.761761","-57.986333"
"Led_AvenidaSiburu1117","","LED 150W","Avenida Siburu 1117","San Clemente","Base deteriorada","","-30.763061","-57.984853"
"Led_AvenidaSiburu1055","","LED 150W","Avenida Siburu 1055","San Clemente","Con base en buenas condiciones","","-30.763508","-57.984349"
"Led_AvenidaHipolitoYrigoyen3516","","LED 150W","Avenida Hipolito Yrigoyen 3516","San Clemente","Con base en buenas condiciones","","-30.765001","-57.985486"
"Led_AvenidaHipolitoYrigoyen3598","","LED 150W","Avenida Hipolito Yrigoyen 3598","San Clemente","Con base en buenas condiciones","","-30.765365","-57.985936"
"Led_AvenidaHipolitoYrigoyen3652","","LED 150W","Avenida Hipolito Yrigoyen 3652","San Clemente","Sin base","","-30.765776","-57.986398"
"Led_AvenidaHipolitoYrigoyen3902","","LED 150W","Avenida Hipolito Yrigoyen 3902","San Clemente","Base deteriorada","","-30.767301","-57.9882"
"Led_AvenidaHipolitoYrigoyen3994","","LED 150W","Avenida Hipolito Yrigoyen 3994","San Clemente","Base deteriorada","","-30.767753","-57.988715"
"Led_AvenidaAlem1176","","LED 150W","Avenida Alem 1176","San Clemente","Con base en buenas condiciones","","-30.766799","-57.989944"
"Led_AvenidaAlem1476","","LED 150W","Avenida Alem 1476","San Clemente","Base deteriorada","","-30.764789","-57.992234"
"Led_Mendoza1088","","LED 150W","Mendoza 1088","San Clemente","Con base en buenas condiciones","","-30.766725","-57.988522"
"Led_Mendoza1180","","LED 150W","Mendoza 1180","San Clemente","Base deteriorada","","-30.766126","-57.989225"
"Led_Mendoza1378","","LED 150W","Mendoza 1378","San Clemente","Con base en buenas condiciones","","-30.764794","-57.99077"
"Led_Mendoza1580","","LED 150W","Mendoza 1580","San Clemente","Base deteriorada","","-30.763522","-57.992234"
"Led_Chaco1182","","LED 150W","Chaco 1182","San Clemente","Con base en buenas condiciones","","-30.76549","-57.988533"
"Led_Chaco1668","","LED 150W","Chaco 1668","San Clemente","Sin base","","-30.7623","-57.992261"
"Led_SantaFe1282","","LED 150W","Santa Fe 1282","San Clemente","Base deteriorada","","-30.764305","-57.988662"
"Led_SanLuis1178","","LED 150W","San Luis 1178","San Clemente","Base deteriorada","","-30.764365","-57.987192"
"Led_SanLuis1578","","LED 150W","San Luis 1578","San Clemente","Con base en buenas condiciones","","-30.761742","-57.990206"
"Led_Antartida1176","","LED 150W","Antartida 1176","San Clemente","Con base en buenas condiciones","","-30.763775","-57.986505"
"Led_Antartida1376","","LED 150W","Antartida 1376","San Clemente","Base deteriorada","","-30.762401","-57.988039"
"Led_Antartida1668","","LED 150W","Antartida 1668","San Clemente","Con base en buenas condiciones","","-30.760544","-57.99018"
"Led_Cordoba1280","","LED 150W","Cordoba 1280","San Clemente","Con base en buenas condiciones","","-30.762526","-57.986575"
"Led_Cordoba1570","","LED 150W","Cordoba 1570","San Clemente","Con base en buenas condiciones","","-30.760576","-57.988801"
"Led_RoqueSaenzPena3809","","LED 150W","Roque Saenz Pena 3809","San Clemente","Base deteriorada","","-30.766264","-57.988066"
"Led_RoqueSaenzPena3515","True","LED 150W","Roque Saenz Pena 3515","San Clemente","Sin base","","-30.764545","-57.986087"
"Led_RoqueSaenzPena3417","","LED 150W","Roque Saenz Pena 3417","San Clemente","Con base en buenas condiciones","","-30.763927","-57.9854"
"Led_AvenidaSiburu1167","","LED 150W","Avenida Siburu 1167","San Clemente","Con base en buenas condiciones","","-30.763342","-57.984767"
"Led_JuanBautistaAlberdi3817","","LED 150W","Juan Bautista Alberdi 3817","San Clemente","Con base en buenas condiciones","","-30.765647","-57.988865"
"Led_JuanBautistaAlberdi3717","","LED 150W","Juan Bautista Alberdi 3717","San Clemente","Sin base","","-30.76508","-57.988222"
"Led_JuanBautistaAlberdi3323","","LED 150W","Juan Bautista Alberdi 3323","San Clemente","Base deteriorada","","-30.762719","-57.985497"
"Led_EntreRios3711","","LED 150W","Entre Rios 3711","San Clemente","Con base en buenas condiciones","","-30.764439","-57.988994"
"Led_EntreRios3423","","LED 150W","Entre Rios 3423","San Clemente","Con base en buenas condiciones","","-30.762641","-57.986934"
"Led_3deFebrero3819","","LED 150W","3 de Febrero 3819","San Clemente","Sin base","","-30.764319","-57.990448"
"Led_3deFebrero3519","","LED 150W","3 de Febrero 3519","San Clemente","Base deteriorada","","-30.762554","-57.988393"
"Led_Rivadavia3919","","LED 150W","Rivadavia 3919","San Clemente","Con base en buenas condiciones","","-30.764301","-57.99188"
"Led_EntreRios3882","","LED 150W","Entre Rios 3882","San Clemente","Con base en buenas condiciones","","-30.765121","-57.990185"
"Led_EntreRios3586","","LED 150W","Entre Rios 3586","San Clemente","Base deteriorada","","-30.763379","-57.988136"
"Led_Mendoza1196","","LED 150W","Mendoza 1196","San Clemente","Base deteriorada","","-30.76508","-57.991666"
"Led_3deFebrero3686","","LED 150W","3 de Febrero 3686","San Clemente","Con base en buenas condiciones","","-30.763277","-57.989649"
"Led_3deFebrero3384","","LED 150W","3 de Febrero 3384","San Clemente","Con base en buenas condiciones","","-30.76147","-57.987573"
"Led_Avenida9deJulio3999","","LED 150W","Avenida 9 de Julio 3999","San Clemente","Sin base","","-30.763328","-57.993817"
